date,price,volume
20190418,5277.1445570076,169925939.232903
20190417,5233.5107896096,171755635.135074
20190416,5118.3006033758,185034141.498199
20190415,5139.1877329272,194706406.494941
20190414,5101.9071307186,97416955.916813
20190413,5105.1172478649,110641955.694159
20190412,5066.0450812466,197856323.786468
20190411,5137.4607143283,358228139.407747
20190410,5282.795170104,324034271.631053
20190409,5233.279266431,230886770.255142
20190408,5248.3529336905,329636767.619667
20190407,5142.9895662049,225273876.103519
20190406,5055.3384290174,256241218.197057
20190405,4993.7670388247,251002249.369675
20190404,4979.4501362937,347447353.673265
20190403,5030.0416077896,786903598.041925
20190402,4662.7321138989,806957919.665828
20190401,4144.8727820246,135535933.709768
20190331,4109.9512562885,48337838.784774
20190330,4105.5142325893,93815990.830078
20190329,4081.4841395418,153020120.122564
20190328,4031.9987841716,86616227.063987
20190327,4015.8115088241,130715451.115054
20190326,3934.1911255314,79340292.871354
20190325,3975.5813676594,115223656.914529
20190324,3994.6447426468,54010821.730761
20190323,4005.7903261539,63702416.399314
20190322,4004.6209375617,77748822.148873
20190321,4031.0794423864,162348765.343475
20190320,4026.3660909822,125496122.78004
20190319,4007.019223174,100041813.747257
20190318,3998.0868274244,97768382.645263
20190317,3992.6204571994,57723156.656605
20190316,4006.5240565763,154092166.351176
20190315,3908.7809449839,111137813.748834
20190314,3881.0633347758,117129981.995127
20190313,3885.0784014704,91869414.844344
20190312,3878.6754237693,113591171.673147
20190311,3891.9911318462,108595620.370823
20190310,3919.2575080795,63350641.376641
20190309,3918.4778670497,100576412.323114
20190308,3899.7707827716,140593072.443782
20190307,3888.5108615597,126643337.215625
20190306,3866.8794776836,115827098.143697
20190305,3798.0515306421,147969512.507126
20190304,3759.1181104423,135448302.011069
20190303,3834.8745420013,53321887.653256
20190302,3837.0180060915,63193723.890446
20190301,3845.1289698822,89936402.152823
20190228,3842.830526212,163011305.668411
20190227,3825.7019439891,156875926.063184
20190226,3829.087250806,106090864.884969
20190225,3823.3154475331,161375415.968293
20190224,4010.1615481473,361234738.111275
20190223,4003.6780452026,219174203.081597
20190222,3952.585807817,151208308.77959
20190221,3935.8077289759,167790764.409815
20190220,3937.9040626166,186697408.329119
20190219,3924.6275874105,273722669.964653
20190218,3787.3277362673,354243383.84671
20190217,3621.7374363758,127123521.036117
20190216,3625.8262734093,78300132.624091
20190215,3607.3913969228,116206764.937196
20190214,3604.9834226489,103637905.41795
