ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
IXIC,20210607,13802.82,13881.72,13889.11,13784.89,13814.49,67.23,0.49,0.75,916968.44
IXIC,20210604,13697.25,13814.49,13826.82,13692.01,13614.51,199.98,1.47,0.99,806244.13
IXIC,20210603,13655.75,13614.51,13684.13,13548.93,13756.33,-141.82,-1.03,0.98,1019613.2
IXIC,20210602,13743.24,13756.33,13775.89,13689.74,13736.48,19.85,0.14,0.63,996751.94
IXIC,20210601,13829.06,13736.48,13836.17,13678.77,13748.74,-12.26,-0.09,1.14,884815.13
IXIC,20210528,13792.05,13748.74,13820.87,13747.61,13736.28,12.46,0.09,0.53,911241.32
IXIC,20210527,13742.59,13736.28,13776.52,13701.63,13738.0,-1.72,-0.01,0.55,1412305.0
IXIC,20210526,13693.94,13738.0,13750.16,13679.59,13657.17,80.83,0.59,0.52,819714.25
IXIC,20210525,13721.54,13657.17,13751.14,13631.8,13661.17,-4.0,-0.03,0.87,823660.57
IXIC,20210524,13557.21,13661.17,13708.85,13551.01,13470.99,190.18,1.41,1.17,730822.94
IXIC,20210521,13616.19,13470.99,13616.58,13463.27,13535.74,-64.75,-0.48,1.13,786548.94
IXIC,20210520,13356.63,13535.74,13563.52,13355.72,13299.74,236.0,1.77,1.56,810406.38
IXIC,20210519,13078.19,13299.74,13304.61,13072.24,13303.64,-3.9,-0.03,1.75,879285.32
IXIC,20210518,13416.9,13303.64,13485.34,13299.93,13379.05,-75.41,-0.56,1.39,852726.0
IXIC,20210517,13368.8,13379.05,13399.17,13265.4,13429.98,-50.93,-0.38,1.0,799858.5
IXIC,20210514,13255.65,13429.98,13460.88,13242.97,13124.99,304.99,2.32,1.66,854904.07
IXIC,20210513,13150.94,13124.99,13247.87,13007.24,13031.68,93.31,0.72,1.85,986834.75
IXIC,20210512,13215.49,13031.68,13288.61,13002.54,13389.43,-357.75,-2.67,2.14,985256.38
IXIC,20210511,13115.86,13389.43,13423.31,13107.67,13401.86,-12.43,-0.09,2.36,983049.44
IXIC,20210510,13687.59,13401.86,13687.93,13401.75,13752.24,-350.38,-2.55,2.08,1020166.8
IXIC,20210507,13723.09,13752.24,13828.62,13690.75,13632.84,119.4,0.88,1.01,873188.82
IXIC,20210506,13557.83,13632.84,13635.74,13439.39,13582.42,50.42,0.37,1.45,1041221.6
IXIC,20210505,13731.13,13582.42,13753.05,13553.93,13633.5,-51.08,-0.37,1.46,909083.75
IXIC,20210504,13774.51,13633.5,13795.57,13485.59,13895.12,-261.62,-1.88,2.23,1092573.0
IXIC,20210503,14031.77,13895.12,14042.13,13881.51,13962.68,-67.56,-0.48,1.15,919694.57
IXIC,20210430,13970.73,13962.68,14084.76,13941.63,14082.55,-119.87,-0.85,1.02,1024750.4
IXIC,20210429,14204.52,14082.55,14211.57,13952.8,14051.03,31.52,0.22,1.84,994153.32
IXIC,20210428,14082.78,14051.03,14133.65,14034.7,14090.22,-39.19,-0.28,0.7,861229.57
IXIC,20210427,14170.92,14090.22,14171.24,14064.28,14138.78,-48.56,-0.34,0.76,871200.82
IXIC,20210426,14052.38,14138.78,14154.03,14019.5,14016.81,121.97,0.87,0.96,867745.13
IXIC,20210423,13861.37,14016.81,14062.74,13856.83,13818.41,198.4,1.44,1.49,843297.63
IXIC,20210422,13952.57,13818.41,14015.87,13771.04,13950.22,-131.81,-0.94,1.76,871275.75
IXIC,20210421,13745.77,13950.22,13951.35,13706.86,13786.27,163.95,1.19,1.77,819759.13
IXIC,20210420,13894.46,13786.27,13927.67,13698.67,13914.77,-128.5,-0.92,1.65,875273.5
IXIC,20210419,13984.58,13914.77,14041.79,13842.57,14052.34,-137.57,-0.98,1.42,907063.75
IXIC,20210416,14059.11,14052.34,14062.5,13977.05,14038.76,13.58,0.1,0.61,962783.25
IXIC,20210415,13983.23,14038.76,14049.13,13970.42,13857.84,180.92,1.31,0.57,867560.69
IXIC,20210414,14004.08,13857.84,14033.63,13839.04,13996.1,-138.26,-0.99,1.39,812847.0
IXIC,20210413,13902.45,13996.1,14011.51,13902.45,13850.0,146.1,1.05,0.79,839449.57
IXIC,20210412,13854.44,13850.0,13877.0,13783.95,13900.19,-50.19,-0.36,0.67,894010.07
IXIC,20210409,13787.02,13900.19,13905.41,13748.35,13829.31,70.88,0.51,1.14,785756.25
IXIC,20210408,13796.89,13829.31,13830.14,13758.71,13688.84,140.47,1.03,0.52,870914.88
IXIC,20210407,13675.3,13688.84,13733.03,13653.59,13698.38,-9.54,-0.07,0.58,819484.38
IXIC,20210406,13681.67,13698.38,13776.71,13674.28,13705.59,-7.21,-0.05,0.75,870630.0
