ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,19940218,769.18,768.13,771.8,768.13,768.57,0.61,0.0794,492712.0,360086.464
000001.SH,19940217,768.57,773.67,774.48,763.81,776.1,-7.53,-0.9702,514818.0,327914.447
000001.SH,19940216,776.1,775.14,779.25,773.13,772.76,3.34,0.4322,538945.0,425472.676
000001.SH,19940215,772.76,775.85,777.42,761.64,779.91,-7.15,-0.9168,643441.0,582717.599
000001.SH,19940214,779.91,813.95,818.57,779.09,797.86,-17.95,-2.2498,1149078.0,1188247.396
000001.SH,19940204,797.86,784.06,797.88,782.34,780.17,17.69,2.2675,1419538.0,1468387.165
000001.SH,19940203,780.17,775.2,792.52,775.2,772.2,7.97,1.0321,1066853.0,906536.938
000001.SH,19940202,772.2,753.1,772.2,753.1,755.15,17.05,2.2578,582879.0,458798.589
000001.SH,19940201,755.15,770.25,770.28,750.61,770.25,-15.1,-1.9604,491702.0,405089.897
000001.SH,19940131,770.25,781.54,781.74,760.78,799.26,-29.01,-3.6296,812960.0,675073.533
000001.SH,19940128,799.26,818.32,818.34,795.07,818.6,-19.34,-2.3626,968163.0,889295.718
000001.SH,19940127,818.6,813.54,819.79,813.54,812.41,6.19,0.7619,387437.0,306905.586
000001.SH,19940126,812.41,828.34,828.4,810.32,815.89,-3.48,-0.4265,854492.0,658691.162
000001.SH,19940125,815.89,838.06,842.04,815.23,839.2,-23.31,-2.7776,1397286.0,827019.861
000001.SH,19940124,839.2,830.16,839.2,824.42,812.88,26.32,3.2379,1252907.0,864688.624
000001.SH,19940121,812.88,800.55,815.75,794.97,802.61,10.27,1.2796,831843.0,649490.892
000001.SH,19940120,802.61,791.0,804.25,777.83,807.5,-4.89,-0.6056,897650.0,778183.317
000001.SH,19940119,807.5,835.08,835.08,794.17,835.06,-27.56,-3.3004,961660.0,877192.947
000001.SH,19940118,835.06,859.3,859.3,826.01,859.28,-24.22,-2.8186,952694.0,1120853.368
000001.SH,19940117,859.28,861.34,868.88,856.5,849.23,10.05,1.1834,1083501.0,1018437.198
000001.SH,19940114,849.23,900.13,900.99,842.62,897.46,-48.23,-5.3741,2429254.0,2485634.53
